Código CVM,Empresa,Categoria,Tipo,Espécie,Data Referência,Data Entrega,Status,V,Modalidade,download
01610-1,016101 GAFISA S.A.,Escrituras e aditamentos de debêntures,,Aditamento Escritura de Debentures 12 Edicao -,20191008 08/10/2019,20191014 14/10/2019 15:29,Ativo,1,AP,"OpenDownloadDocumentos('240844','1','715997','IPE')"
01660-8,016608 EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.,Aviso aos Debenturistas,,Pagamento de juros/remuneração -,20191014 14/10/2019,20191014 14/10/2019 08:30,Ativo,1,AP,"OpenDownloadDocumentos('240789','1','715940','IPE')"
01732-9,017329 ENGIE BRASIL ENERGIA S.A.,Assembleia,AGE,"1 - Ratificar a nomeação e contratação da KPMG, como empresa especializada para a elaboração do laudo de avaliação dos procedimentos aplicáveis ao art 256 da LS/A, relativo à aquisição da TAG;,2 - Aprovar o Laudo de Avaliação; e,3 - Ratificar, consoante previsto no artigo 256, §1º, da Lei nº 6.404/76 (“LS/A”), a aquisição, pela Companhia, em conjunto com a GDF International e com o CDPQ.Ata",20191014 14/10/2019 11:30,20191014 14/10/2019 18:15,Ativo,1,AP,"OpenDownloadDocumentos('240899','1','716052','IPE')"
01732-9,017329 ENGIE BRASIL ENERGIA S.A.,Assembleia,AGE,"1 - Ratificar a nomeação e contratação da KPMG, como empresa especializada para a elaboração do laudo de avaliação dos procedimentos aplicáveis ao art 256 da LS/A, relativo à aquisição da TAG;,2 - Aprovar o Laudo de Avaliação; e,3 - Ratificar, consoante previsto no artigo 256, §1º, da Lei nº 6.404/76 (“LS/A”), a aquisição, pela Companhia, em conjunto com a GDF International e com o CDPQ.Mapa Final de Votação Sintético",20191014 14/10/2019 11:30,20191014 14/10/2019 18:19,Ativo,1,AP,"OpenDownloadDocumentos('240901','1','716054','IPE')"
01732-9,017329 ENGIE BRASIL ENERGIA S.A.,Fato Relevante,,Ratificação da Aquisição de Controle Compartilhado da TAG -,20191014 14/10/2019,20191014 14/10/2019 18:20,Ativo,1,AP,"OpenDownloadDocumentos('240902','1','716055','IPE')"
01767-1,017671 TELEFÔNICA BRASIL S.A,Aviso aos Debenturistas,,Pagamento de juros/remuneração -,20191014 14/10/2019,20191014 14/10/2019 17:29,Ativo,1,AP,"OpenDownloadDocumentos('240873','1','716026','IPE')"
01813-9,018139 CIA ENERGETICA DO RIO GDE NORTE - COSERN,Aviso aos Debenturistas,,Pagamento de juros/remuneração -,20191014 14/10/2019,20191014 14/10/2019 18:03,Ativo,1,AP,"OpenDownloadDocumentos('240890','1','716043','IPE')"
01813-9,018139 CIA ENERGETICA DO RIO GDE NORTE - COSERN,Aviso aos Debenturistas,,Pagamento de juros/remuneração -,20191014 14/10/2019,20191014 14/10/2019 18:06,Ativo,1,AP,"OpenDownloadDocumentos('240894','1','716047','IPE')"
01837-6,018376 CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA,Aviso aos Debenturistas,,Pagamento de juros/remuneração -,20191014 14/10/2019,20191014 14/10/2019 16:46,Ativo,1,AP,"OpenDownloadDocumentos('240857','1','716010','IPE')"
01862-7,018627 CIA SANEAMENTO DO PARANA - SANEPAR,Reunião da Administração,Conselho de Administração,Deliberar sobre o processo de Renovação do Contrato de Prestação de Serviços de Auditoria IndependenteAta,20191003 03/10/2019 12:00,20191014 14/10/2019 18:05,Ativo,1,AP,"OpenDownloadDocumentos('240892','1','716045','IPE')"
01882-1,018821 CCR S.A.,Comunicação sobre Transação entre Partes Relacionadas,,Transação RodoNorte e Copa -,20191003 03/10/2019,20191014 14/10/2019 18:54,Ativo,1,AP,"OpenDownloadDocumentos('240915','1','716068','IPE')"
01897-0,018970 AES TIETE ENERGIA SA,Aviso aos Debenturistas,,Pagamento de juros/remuneração -,20191014 14/10/2019,20191014 14/10/2019 17:48,Ativo,1,AP,"OpenDownloadDocumentos('240880','1','716033','IPE')"
01910-0,019100 LIQ PARTICIPAÇÕES S.A.,Fato Relevante,,Aprovação do conselho para aumento de capital -,20191014 14/10/2019,20191014 14/10/2019 19:40,Ativo,1,AP,"OpenDownloadDocumentos('240926','1','716080','IPE')"
01910-0,019100 LIQ PARTICIPAÇÕES S.A.,Reunião da Administração,Conselho de Administração,"tomar conhecimento e apreciar a Proposta de Integração de Negócios enviada à administração da Companhia,aprovar a proposta da administração, a ser submetida à Assembleia Geral, para o aumento do capital social da Companhia,aprovar a convocação da Assembleia Geral Extraordinária da Companhia para deliberar sobre o aumento de capitalAta",20191014 14/10/2019 10:00,20191014 14/10/2019 19:54,Ativo,1,AP,"OpenDownloadDocumentos('240928','1','716082','IPE')"
01910-0,019100 LIQ PARTICIPAÇÕES S.A.,Reunião da Administração,Conselho Fiscal,Opinar e emitir parecer sobre a proposta de aumento do capital social da CompanhiaAta,20191014 14/10/2019 14:30,20191014 14/10/2019 19:56,Ativo,1,AP,"OpenDownloadDocumentos('240930','1','716084','IPE')"
01910-0,019100 LIQ PARTICIPAÇÕES S.A.,Assembleia,AGDEB,"dispensar o Agente Fiduciário de iniciar os procedimentos judiciais e/ou extrajudiciais em face da Emissora para realização dos créditos dos Debenturistas,autorização para o Agente Fiduciário firmar documentos e tomar quaisquer medidas necessárias, a fim de refletir as deliberações tomadas no âmbito da assembleiaAta",20191014 14/10/2019 11:00,20191014 14/10/2019 20:00,Ativo,1,AP,"OpenDownloadDocumentos('240932','1','716086','IPE')"
01930-5,019305 BIOMM S.A.,Calendário de Eventos Corporativos,,,20191231 31/12/2019,20191014 14/10/2019 17:44,Ativo,5,RE,"OpenDownloadDocumentos('240878','5','716031','IPE')"
01933-0,019330 TPI - TRIUNFO PARTICIP. E INVEST. S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Triunfo Comunica seus Dados Operacionais de Setembro 2019 -,20191014 14/10/2019,20191014 14/10/2019 19:03,Ativo,1,AP,"OpenDownloadDocumentos('240919','1','716073','IPE')"
01955-0,019550 NATURA COSMETICOS S.A.,Assembleia,AGE,"Aprovação de atos relativos à incorporação de ações da Companhia,Autorizar os acionistas da Natura &Co a realizar atos relativos a incorporaçãoEdital de Convocação",20191113 13/11/2019 09:00,20191014 14/10/2019 07:48,Inativo,1,AP,"OpenDownloadDocumentos('240780','1','715930','IPE')"
01955-0,019550 NATURA COSMETICOS S.A.,Assembleia,AGE,Manual para participação,20191113 13/11/2019 09:00,20191014 14/10/2019 08:05,Ativo,1,AP,"OpenDownloadDocumentos('240787','1','715938','IPE')"
01956-9,019569 GOL LINHAS AEREAS INTELIGENTES S.A.,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,Notícia divulgada na mídia -,20191014 14/10/2019,20191014 14/10/2019 09:12,Ativo,1,AP,"OpenDownloadDocumentos('240795','1','715947','IPE')"
01972-0,019720 BRAZIL REALTY CIA SECURIT. CRÉD. IMOBILIÁRIOS,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191014 14/10/2019 18:01,Inativo,1,AP,"OpenDownloadDocumentos('240889','1','716042','IPE')"
01973-9,019739 LOCALIZA RENT A CAR S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Deferimento do pedido de registro da subsidiária na categoria B -,20191014 14/10/2019,20191014 14/10/2019 08:47,Ativo,1,AP,"OpenDownloadDocumentos('240791','1','715942','IPE')"
01977-1,019771 ARTERIS S.A.,Aviso aos Acionistas,Outros avisos,Deliberação de Proventos -,20191014 14/10/2019,20191014 14/10/2019 15:45,Ativo,1,AP,"OpenDownloadDocumentos('240848','1','716001','IPE')"
01987-9,019879 LIGHT S.A.,Fato Relevante,,"Celebração de Termo de Cessão Lightcom e CG,Celebração de Contrato de Compra e Venda e Outras Avenças Light Energia e CG na Renova -",20191014 14/10/2019,20191014 14/10/2019 02:36,Ativo,1,AP,"OpenDownloadDocumentos('240776','1','715926','IPE')"
01987-9,019879 LIGHT S.A.,Reunião da Administração,Conselho de Administração,Autorização para celebração de um contrato de compra e venda de ações entre Light Energia e CG I na Renova Sumário das Decisões,20191013 13/10/2019 16:00,20191014 14/10/2019 09:40,Inativo,1,AP,"OpenDownloadDocumentos('240800','1','715953','IPE')"
01987-9,019879 LIGHT S.A.,Reunião da Administração,Conselho de Administração,Autorização para celebração de um contrato de compra e venda de ações entre Light Energia e CG I na Renova Sumário das Decisões,20191013 13/10/2019 16:00,20191014 14/10/2019 22:13,Ativo,2,RE,"OpenDownloadDocumentos('240946','2','716100','IPE')"
01992-5,019925 BR PROPERTIES S.A.,Fato Relevante,,Celebração do Compromisso de Compra e Venda de Ações de Empresa. -,20191014 14/10/2019,20191014 14/10/2019 18:07,Ativo,1,AP,"OpenDownloadDocumentos('240896','1','716049','IPE')"
02019-2,020192 CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN,Aviso aos Debenturistas,,Pagamento de Juros e Resgate - Sexta Emissão de Debêntures -,20191014 14/10/2019,20191014 14/10/2019 11:25,Ativo,1,AP,"OpenDownloadDocumentos('240825','1','715978','IPE')"
02032-0,020320 CEMIG GERACAO E TRANSMISSAO S.A.,Assembleia,AGDEB,"(i)	A substituição de determinados contratos de fornecimento de energia elétrica da Companhia,(ii)	A celebração pelo Agente Fiduciário, em conjunto com a Emissora, de aditamento ao Contrato de Cessão Fiduciária de Recebíveis de Fornecimento de Energia,(iii)	Autorizar que o Agente Fiduciário firme quaisquer outros instrumentos necessários para contemplar as deliberações a serem tomadas na AGD.Edital de Convocação",20191029 29/10/2019 11:00,20191014 14/10/2019 18:05,Ativo,1,AP,"OpenDownloadDocumentos('240893','1','716046','IPE')"
02037-0,020370 LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.,Assembleia,AGE,"Alteração do Estatuto Social,Alteração do Plano de Outorga de Opção de Compra de Ações,Assembleia a ser realizada em segunda convocaçãoEdital de Convocação",20191022 22/10/2019 11:00,20191014 14/10/2019 15:36,Ativo,1,AP,"OpenDownloadDocumentos('240845','1','715998','IPE')"
02037-0,020370 LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.,Assembleia,AGE,"Alteração do Estatuto Social,Alteração do Plano de Outorga de Opção de Compra de Ações,Assembleia a ser realizada em segunda convocaçãoProposta da Administração",20191022 22/10/2019 11:00,20191014 14/10/2019 15:37,Ativo,1,AP,"OpenDownloadDocumentos('240846','1','715999','IPE')"
02043-5,020435 TECNISA S.A.,Reunião da Administração,Conselho de Administração,Aprovação do Contrato de Incentivo de Longo PrazoAta,20191007 07/10/2019 13:00,20191014 14/10/2019 17:45,Ativo,1,AP,"OpenDownloadDocumentos('240879','1','716032','IPE')"
02045-1,020451 RNI NEGÓCIOS IMOBILIÁRIOS S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Lançamento do Moradas Clube / Launch of Moradas Clube -,20191014 14/10/2019,20191014 14/10/2019 08:43,Ativo,1,AP,"OpenDownloadDocumentos('240790','1','715941','IPE')"
02045-1,020451 RNI NEGÓCIOS IMOBILIÁRIOS S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Lançamento do Moradas Clube (MCMV) -,20191014 14/10/2019,20191014 14/10/2019 17:08,Cancelado,1,AP,"OpenDownloadDocumentos('240860','1','716013','IPE')"
02045-1,020451 RNI NEGÓCIOS IMOBILIÁRIOS S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Prévia Operacional 3T19 -,20191014 14/10/2019,20191014 14/10/2019 17:11,Ativo,1,AP,"OpenDownloadDocumentos('240861','1','716014','IPE')"
02045-1,020451 RNI NEGÓCIOS IMOBILIÁRIOS S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Operational Preview 3Q19 -,20191014 14/10/2019,20191014 14/10/2019 19:18,Ativo,1,AP,"OpenDownloadDocumentos('240923','1','716077','IPE')"
02052-4,020524 EVEN CONSTRUTORA E INCORPORADORA S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Prévia Operacional 3T19 -,20191014 14/10/2019,20191014 14/10/2019 18:33,Ativo,1,AP,"OpenDownloadDocumentos('240910','1','716063','IPE')"
02052-4,020524 EVEN CONSTRUTORA E INCORPORADORA S.A.,Reunião da Administração,Conselho de Administração,Aprovação da Política e Regimento Interno do Comitês de Auditoria da CompanhiaAta,20191003 03/10/2019 09:00,20191014 14/10/2019 19:12,Ativo,1,AP,"OpenDownloadDocumentos('240922','1','716076','IPE')"
02054-0,020540 CPFL ENERGIAS RENOVÁVEIS S.A.,Calendário de Eventos Corporativos,,,20191231 31/12/2019,20191014 14/10/2019 14:48,Inativo,6,RE,"OpenDownloadDocumentos('240840','6','715993','IPE')"
02054-0,020540 CPFL ENERGIAS RENOVÁVEIS S.A.,Formulário Cadastral,,,20190101 2019,20191014 14/10/2019 15:53,Inativo,3,RE,"OpenDownloadDocumentos('88658','3','020540FCA000020190300088658-76','FCA')"
02087-7,020877 HELBOR EMPREENDIMENTOS S.A.,Aviso aos Acionistas,Outros avisos,Aumento de Capital - Instrução CVM 480 Anexo 30-XXXII -,20191014 14/10/2019,20191014 14/10/2019 16:24,Ativo,1,AP,"OpenDownloadDocumentos('240850','1','716003','IPE')"
02093-1,020931 MINERVA S.A.,Reunião da Administração,Conselho de Administração,Homologação de aumento de capital em função de exercício de bônus de subscriçãoAta,20191011 11/10/2019 08:45,20191014 14/10/2019 17:52,Ativo,1,AP,"OpenDownloadDocumentos('240881','1','716034','IPE')"
02093-1,020931 MINERVA S.A.,Aviso aos Acionistas,Aumento de capital por subscrição privada deliberado em RCA,,20191011 11/10/2019 08:45,20191014 14/10/2019 17:56,Ativo,1,AP,"OpenDownloadDocumentos('240886','1','716039','IPE')"
02098-2,020982 MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,Aviso aos Debenturistas,,"Amortização Parcial, Pagamento de juros/remuneração -",20191014 14/10/2019,20191014 14/10/2019 19:43,Ativo,1,AP,"OpenDownloadDocumentos('240927','1','716081','IPE')"
02100-8,021008 GENERAL SHOPPING E OUTLETS DO BRASIL S.A.,Reunião da Administração,Conselho de Administração,Eleição de Diretor(es)Ata,20191004 04/10/2019 09:00,20191014 14/10/2019 13:16,Ativo,1,AP,"OpenDownloadDocumentos('240830','1','715983','IPE')"
02100-8,021008 GENERAL SHOPPING E OUTLETS DO BRASIL S.A.,Reunião da Administração,Conselho de Administração,Ratificação da Confirmação de Operação de Termo de Moeda n° 112019040092000Ata,20191004 04/10/2019 09:30,20191014 14/10/2019 13:19,Ativo,1,AP,"OpenDownloadDocumentos('240831','1','715984','IPE')"
02100-8,021008 GENERAL SHOPPING E OUTLETS DO BRASIL S.A.,Reunião da Administração,Conselho de Administração,Ratificação da Confirmação de Operação de Termo de Moeda n° 112019070092000Ata,20191004 04/10/2019 10:00,20191014 14/10/2019 13:23,Ativo,1,AP,"OpenDownloadDocumentos('240832','1','715985','IPE')"
02100-8,021008 GENERAL SHOPPING E OUTLETS DO BRASIL S.A.,Reunião da Administração,Conselho de Administração,Aprovar e ratificar a celebração do Contrato de Prestação de Fiança n°100419070103400Ata,20191004 04/10/2019 10:30,20191014 14/10/2019 13:32,Ativo,1,AP,"OpenDownloadDocumentos('240836','1','715989','IPE')"
02100-8,021008 GENERAL SHOPPING E OUTLETS DO BRASIL S.A.,Reunião da Administração,Conselho de Administração,Aprovar a constituição das seguintes subsidiárias da Companhia: (i) LOA Administradora e Incorporadora Ltda; (ii)BABI Administradora e Incorporadora Ltda;e (iii)DAN Administradora e Incorporadora LtdaAta,20191004 04/10/2019 11:00,20191014 14/10/2019 13:38,Ativo,1,AP,"OpenDownloadDocumentos('240837','1','715990','IPE')"
02100-8,021008 General Shopping e Outlets do Brasil S.A.,Formulário de Referência,,,20190101 2019,20191014 14/10/2019 16:47,Inativo,3,RE,"OpenDownloadDocumentos('88660','3','021008FRE201920190300088660-74','')"
02134-2,021342 OSX BRASIL S.A.,Informações de Companhias em Recuperação Judicial ou Extrajudicial,Contas demonstrativas mensais,,20190805 05/08/2019,20191014 14/10/2019 17:23,Ativo,1,AP,"OpenDownloadDocumentos('240867','1','716020','IPE')"
02134-2,021342 OSX BRASIL S.A.,Informações de Companhias em Recuperação Judicial ou Extrajudicial,Contas demonstrativas mensais,,20190905 05/09/2019,20191014 14/10/2019 17:24,Ativo,1,AP,"OpenDownloadDocumentos('240868','1','716021','IPE')"
02135-0,021350 DIRECIONAL ENGENHARIA S.A.,Aviso aos Acionistas,Outros avisos,Dividendos/Juros sobre Capital Próprio -,20191014 14/10/2019,20191014 14/10/2019 20:58,Ativo,1,AP,"OpenDownloadDocumentos('240933','1','716087','IPE')"
02149-0,021490 ALUPAR INVESTIMENTO S/A,Reunião da Administração,Conselho de Administração,"Aprovar o Regimento Interno do Comitê de Auditoria da Companhia, com a subsequente alteração do atual Regimento Interno dos Comitês da CompanhiaAta",20191014 14/10/2019 15:00,20191014 14/10/2019 18:04,Ativo,1,AP,"OpenDownloadDocumentos('240891','1','716044','IPE')"
02163-6,021636 RENOVA ENERGIA S.A.,Fato Relevante,,Renuncia Diretoria -,20191014 14/10/2019,20191014 14/10/2019 09:32,Ativo,1,AP,"OpenDownloadDocumentos('240798','1','715950','IPE')"
02163-6,021636 RENOVA ENERGIA S.A.,Fato Relevante,,Replica Light -,20191014 14/10/2019,20191014 14/10/2019 09:37,Ativo,1,AP,"OpenDownloadDocumentos('240799','1','715952','IPE')"
02174-1,021741 ECO SECURITIZADORA DIREITOS CRED AGRONEGÓCIO S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Pagamento de Juros - Série 114 -,20191014 14/10/2019,20191014 14/10/2019 17:37,Ativo,1,AP,"OpenDownloadDocumentos('240877','1','716030','IPE')"
02207-1,022071 CONC ROTA DAS BANDEIRAS S.A.,Aviso aos Debenturistas,,Pagamento de juros -,20191014 14/10/2019,20191014 14/10/2019 15:09,Ativo,1,AP,"OpenDownloadDocumentos('240842','1','715995','IPE')"
02207-1,022071 CONC ROTA DAS BANDEIRAS S.A.,Reunião da Administração,Conselho de Administração,"Aprovação da Política sobre Conformidade com Atuação Ética, Íntegra e TransparenteAta",20170417 17/04/2017 10:00,20191014 14/10/2019 21:49,Ativo,1,AP,"OpenDownloadDocumentos('240939','1','716093','IPE')"
02207-1,022071 CONC ROTA DAS BANDEIRAS S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190901 09/2019,20191014 14/10/2019 21:55,Ativo,1,AP,"OpenDownloadDocumentos('240940','1','716094','IPE')"
02207-1,022071 CONC ROTA DAS BANDEIRAS S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190901 09/2019,20191014 14/10/2019 21:58,Ativo,1,AP,"OpenDownloadDocumentos('240941','1','716095','IPE')"
02207-1,022071 CONC ROTA DAS BANDEIRAS S.A.,Formulário de Referência,,,20190101 2019,20191014 14/10/2019 21:23,Inativo,6,RE,"OpenDownloadDocumentos('88667','6','022071FRE201920190600088667-74','')"
02221-7,022217 ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,Reunião da Administração,Conselho de Administração,Aumento de capital por subscrição privada deliberado em RCAAta,20191011 11/10/2019 17:00,20191014 14/10/2019 18:31,Ativo,2,RE,"OpenDownloadDocumentos('240909','2','716062','IPE')"
02221-7,022217 ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,Aviso aos Acionistas,Aumento de capital por subscrição privada deliberado em RCA,,20191011 11/10/2019 17:00,20191014 14/10/2019 18:36,Inativo,2,RE,"OpenDownloadDocumentos('240914','2','716067','IPE')"
02236-5,022365 ENAUTA PARTICIPAÇÕES S.A.,Calendário de Eventos Corporativos,,,20191231 31/12/2019,20191014 14/10/2019 12:01,Ativo,3,RE,"OpenDownloadDocumentos('240828','3','715981','IPE')"
02241-1,022411 CONC ROD AYRTON SENNA E CARV PINTO S.A.-ECOPISTAS,Aviso aos Debenturistas,,Pagamento de juros/remuneração -,20191014 14/10/2019,20191014 14/10/2019 11:23,Ativo,1,AP,"OpenDownloadDocumentos('240824','1','715977','IPE')"
02249-7,022497 QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,Fato Relevante,,Incorporação de Sociedade Subsidiária Integral -,20191014 14/10/2019,20191014 14/10/2019 18:22,Ativo,1,AP,"OpenDownloadDocumentos('240904','1','716057','IPE')"
02249-7,022497 QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,Reunião da Administração,Conselho de Administração,Incorporação de Sociedade Subsidiária IntegralAta,20191014 14/10/2019 10:00,20191014 14/10/2019 18:26,Ativo,1,AP,"OpenDownloadDocumentos('240906','1','716059','IPE')"
02249-7,022497 QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,Reunião da Administração,Conselho Fiscal,Incorporação de Sociedade Subsidiária IntegralAta,20191014 14/10/2019 14:00,20191014 14/10/2019 18:29,Ativo,1,AP,"OpenDownloadDocumentos('240907','1','716060','IPE')"
02249-7,022497 QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,Assembleia,AGE,Incorporação de Sociedade Subsidiária IntegralEdital de Convocação,20191031 31/10/2019 10:00,20191014 14/10/2019 18:34,Ativo,1,AP,"OpenDownloadDocumentos('240911','1','716064','IPE')"
02249-7,022497 QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,Assembleia,AGE,Incorporação de Sociedade Subsidiária IntegralProposta da Administração,20191031 31/10/2019 10:00,20191014 14/10/2019 18:36,Ativo,1,AP,"OpenDownloadDocumentos('240913','1','716066','IPE')"
02256-0,022560 INBRANDS S.A.,Dados Econômico-Financeiros,Relatório de Agência de Rating,Relatório Analítico Inbrands -,20191014 14/10/2019,20191014 14/10/2019 18:22,Ativo,1,AP,"OpenDownloadDocumentos('240903','1','716056','IPE')"
02272-1,022721 CONC RODOVIAS DO TIETÊ S.A.,Assembleia,AGDEB,Vencimento Antecipado de DebênturesEdital de Convocação,20191028 28/10/2019 11:00,20191014 14/10/2019 18:18,Ativo,1,AP,"OpenDownloadDocumentos('240900','1','716053','IPE')"
02279-9,022799 SINQIA S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Agenda de divulgação de resultados do 3T19 -,20191014 14/10/2019,20191014 14/10/2019 11:27,Ativo,1,AP,"OpenDownloadDocumentos('240826','1','715979','IPE')"
02303-5,023035 LINX S.A.,Reunião da Administração,Conselho de Administração,"(i) destituição do Sr. Pedro Holmes Monteiro Moreira de membro da diretoria estatutária da Companhia e de suas controladas,(ii) eleição do novo Diretor Vice Presidente de Finanças e Administração da Companhia,(iii) aprovação do voto favorável da Companhia na deliberação para alteração do quadro de Diretores,(iv) aprovação da outorga de ações diferidas, nos termos do Programa Extraordinário de Ações Diferidas Linx Pay Hub,(v) autorização para a Diretoria da Companhia celebrar Contratos de Outorga Extraordinária de Ações Diferidas Linx Pay Hub,(vi) ratificação de todos os atos praticados pela Diretoria da Companhia para a efetivação das deliberaçõesAta",20191014 14/10/2019 17:30,20191014 14/10/2019 17:55,Ativo,1,AP,"OpenDownloadDocumentos('240885','1','716038','IPE')"
02303-5,023035 LINX S.A.,Fato Relevante,,Eleição de novo CFO -,20191014 14/10/2019,20191014 14/10/2019 17:57,Ativo,1,AP,"OpenDownloadDocumentos('240888','1','716041','IPE')"
02306-0,023060 TRIÂNGULO DO SOL AUTO-ESTRADAS S.A.,Aviso aos Debenturistas,,"Pagamento de juros/remuneração,Amortização -",20191014 14/10/2019,20191014 14/10/2019 19:57,Ativo,1,AP,"OpenDownloadDocumentos('240931','1','716085','IPE')"
02316-7,023167 RODOVIAS DAS COLINAS S.A.,Aviso aos Debenturistas,,"Pagamento de juros/remuneração,Amortização -",20191014 14/10/2019,20191014 14/10/2019 19:55,Ativo,1,AP,"OpenDownloadDocumentos('240929','1','716083','IPE')"
02324-8,023248 ANIMA HOLDING S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Agenda da divulgação dos resultados do 3T19 -,20191014 14/10/2019,20191014 14/10/2019 15:55,Ativo,1,AP,"OpenDownloadDocumentos('240849','1','716002','IPE')"
02328-0,023280 OURO VERDE LOCACAO E SERVICO S.A.,Fato Relevante,,Eleição do Diretor Presidente da Companhia -,20191014 14/10/2019,20191014 14/10/2019 08:12,Ativo,1,AP,"OpenDownloadDocumentos('240788','1','715939','IPE')"
02328-0,023280 OURO VERDE LOCACAO E SERVICO S.A.,Reunião da Administração,Conselho de Administração,Renúncia e eleição de novo Diretor Presidente da Companhia.Ata,20191014 14/10/2019 10:00,20191014 14/10/2019 17:53,Ativo,1,AP,"OpenDownloadDocumentos('240883','1','716036','IPE')"
02351-5,023515 CONC DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A.,Aviso aos Debenturistas,,Amortização -,20191015 15/10/2019,20191014 14/10/2019 13:30,Ativo,1,AP,"OpenDownloadDocumentos('240833','1','715986','IPE')"
02351-5,023515 CONC DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A.,Aviso aos Debenturistas,,Amortização -,20191015 15/10/2019,20191014 14/10/2019 13:31,Cancelado,2,AP,"OpenDownloadDocumentos('240835','2','715988','IPE')"
02351-5,023515 CONC DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A.,Aviso aos Debenturistas,,Pagamento de juros/remuneração -,20191014 14/10/2019,20191014 14/10/2019 13:39,Cancelado,1,AP,"OpenDownloadDocumentos('240838','1','715991','IPE')"
02351-5,023515 CONC DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A.,Aviso aos Debenturistas,,Amortização -,20191014 14/10/2019,20191014 14/10/2019 13:41,Inativo,1,AP,"OpenDownloadDocumentos('240839','1','715992','IPE')"
02351-5,023515 CONC DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A.,Aviso aos Debenturistas,,"Amortização,PAGTO JUROS E AMORTIZAÇÃO 2ª EMISSÃO DE DEBENTURES 2ª SERIE UNICA - AGRU 12 -",20191014 14/10/2019,20191014 14/10/2019 15:18,Inativo,2,RE,"OpenDownloadDocumentos('240843','2','715996','IPE')"
02351-5,023515 CONC DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A.,Aviso aos Debenturistas,,"Amortização,PAGTO JUROS E AMORTIZAÇÃO 2ª EMISSÃO DE DEBENTURES 2ª SERIE UNICA - AGRU 12 -",20191014 14/10/2019,20191014 14/10/2019 15:38,Ativo,3,RE,"OpenDownloadDocumentos('240847','3','716000','IPE')"
02354-0,023540 SALUS INFRAESTRUTURA PORTUARIA SA,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"Pagamento de Juros e Amortização - DEB.1.SIP.1_Dragagem_I,Pagamento de Juros e Amortização DEB.1.SIP.1_Dragagem_II -",20191014 14/10/2019,20191014 14/10/2019 17:53,Ativo,1,AP,"OpenDownloadDocumentos('240882','1','716035','IPE')"
02354-0,023540 SALUS INFRAESTRUTURA PORTUARIA SA,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Pagamento de Juros e amortização DEB.1.SIP.1_Dragagem_II -,20191014 14/10/2019,20191014 14/10/2019 17:56,Ativo,1,AP,"OpenDownloadDocumentos('240887','1','716040','IPE')"
02381-7,023817 BRQ SOLUCOES EM INFORMATICA S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,Acordo de Investimento entre BRQ (“Investidor”) e BBNK (“Companhia”) -,20191014 14/10/2019,20191014 14/10/2019 16:56,Ativo,1,AP,"OpenDownloadDocumentos('240859','1','716012','IPE')"
