cvm_code,company,category,type,kind,reference_date,issue_dttm,status,v,modality,download
02118-0,021180 BRASIL BROKERS PARTICIPACOES S.A.,Assembleia,AGO,"Mapa consolidade de voto a distância,Mapa consolidado de voto a distância",20190426 26/04/2019 10:00,20190919 19/09/2019 15:36,Ativo,1,AP,"OpenDownloadDocumentos('236957','1','711736','IPE')"
02118-0,021180 BRASIL BROKERS PARTICIPACOES S.A.,Assembleia,AGE,"Mapa consolidado de voto a distância,Mapa consolidado de voto a distância",20190426 26/04/2019 10:00,20190919 19/09/2019 15:41,Ativo,1,AP,"OpenDownloadDocumentos('236958','1','711737','IPE')"
02118-0,021180 BRASIL BROKERS PARTICIPACOES S.A.,Assembleia,AGO,"Mapa do escriturador,Mapa do Escriturador",20190426 26/04/2019 10:00,20190919 19/09/2019 17:18,Ativo,1,AP,"OpenDownloadDocumentos('236967','1','711746','IPE')"
02118-0,021180 BRASIL BROKERS PARTICIPACOES S.A.,Assembleia,AGE,"Mapa escriturador AGE,Mapa do Escriturador",20190426 26/04/2019 10:00,20190919 19/09/2019 17:21,Ativo,1,AP,"OpenDownloadDocumentos('236969','1','711748','IPE')"
02119-9,021199 BCO PAN S.A.,Reunião da Administração,Conselho de Administração,"Eleição e Alteração dos membros do COAUD,Ata",20190919 19/09/2019 18:30,20190919 19/09/2019 20:06,Ativo,1,AP,"OpenDownloadDocumentos('237037','1','711821','IPE')"
02120-2,021202 VIX LOGÍSTICA S/A,Reunião da Administração,Conselho de Administração,"Aprovação da 3ª Emissão de Debêntures,Ata",20190919 19/09/2019 10:00,20190919 19/09/2019 19:48,Ativo,1,AP,"OpenDownloadDocumentos('237031','1','711815','IPE')"
02120-2,021202 VIX LOGÍSTICA S/A,Fato Relevante,,"Aprovação da 3ª Emissão de Debêntures, -",20190919 19/09/2019,20190919 19/09/2019 19:50,Cancelado,1,AP,"OpenDownloadDocumentos('237032','1','711816','IPE')"
02120-2,021202 VIX LOGÍSTICA S/A,Fato Relevante,,"3ª Emissão de Debêntures, -",20190919 19/09/2019,20190919 19/09/2019 22:23,Ativo,1,AP,"OpenDownloadDocumentos('237044','1','711829','IPE')"
02144-0,021440 RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS S.A.,Reunião da Administração,Conselho de Administração,"Discussão e aprovação do contrato de empréstimo,Ata",20190909 09/09/2019 19:00,20190919 19/09/2019 20:44,Ativo,1,AP,"OpenDownloadDocumentos('237042','1','711826','IPE')"
02149-0,021490 ALUPAR INVESTIMENTO S/A,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190801 08/2019,20190919 19/09/2019 11:25,Ativo,2,RE,"OpenDownloadDocumentos('236933','2','711712','IPE')"
02161-0,"021610 B3 S.A. - BRASIL, BOLSA, BALCÃO",Reunião da Administração,Conselho de Administração,"Distribuição de Dividendos/Juros sobre Capital Próprio,Ata",20190919 19/09/2019 13:00,20190919 19/09/2019 18:06,Ativo,1,AP,"OpenDownloadDocumentos('237001','1','711782','IPE')"
02173-3,021733 CIELO S.A.,Reunião da Administração,Conselho de Administração,"Análise e deliberação acerca da proposta de modificação do limite de alçada para a Diretoria-Executiva da Companhia,Consignação da renúncia do Sr. Geraldo Morete Júnior ao cargo de membro do Comitê de Finanças da Companhia.,Distribuição de Dividendos/Juros sobre Capital Próprio,Ata",20190919 19/09/2019 12:30,20190919 19/09/2019 19:23,Ativo,1,AP,"OpenDownloadDocumentos('237026','1','711810','IPE')"
02173-3,021733 CIELO S.A.,Aviso aos Acionistas,Outros avisos,"Dividendos/Juros sobre Capital Próprio, -",20190919 19/09/2019,20190919 19/09/2019 19:24,Ativo,1,AP,"OpenDownloadDocumentos('237027','1','711811','IPE')"
02174-1,021741 ECO SECURITIZADORA DIREITOS CRED AGRONEGÓCIO S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"Comunicado ao Mercado dos CRAs da 145ª Série da 1ª Emissão, -",20190919 19/09/2019,20190919 19/09/2019 18:40,Ativo,1,AP,"OpenDownloadDocumentos('237011','1','711792','IPE')"
02190-3,021903 ECORODOVIAS CONCESSåES E SERVI€OS S/A,Formulário de Referência,,,20190101 2019,20190919 19/09/2019 18:34,Ativo,5,RE,"OpenDownloadDocumentos('88369','5','021903FRE201920190500088369-78','')"
02202-0,022020 JSL S.A.,Aviso aos Debenturistas,,"Pagamento de juros/remuneração, -",20190919 19/09/2019,20190919 19/09/2019 17:42,Inativo,1,AP,"OpenDownloadDocumentos('236985','1','711764','IPE')"
02202-0,022020 JSL S.A.,Aviso aos Debenturistas,,"Pagamento de juros/remuneração, -",20190919 19/09/2019,20190919 19/09/2019 17:46,Inativo,1,AP,"OpenDownloadDocumentos('236990','1','711769','IPE')"
02202-0,022020 JSL S.A.,Aviso aos Debenturistas,,"Pagamento de juros/remuneração, -",20190919 19/09/2019,20190919 19/09/2019 17:46,Inativo,1,AP,"OpenDownloadDocumentos('236991','1','711770','IPE')"
02241-1,022411 CONC ROD AYRTON SENNA E CARV PINTO S.A.-ECOPISTAS,Formulário de Referência,,,20190101 2019,20190919 19/09/2019 18:35,Ativo,6,RE,"OpenDownloadDocumentos('88370','6','022411FRE201920190600088370-75','')"
02247-0,022470 MAGAZINE LUIZA S.A.,Calendário de Eventos Corporativos,,,20191231 31/12/2019,20190919 19/09/2019 17:23,Inativo,5,RE,"OpenDownloadDocumentos('236970','5','711749','IPE')"
02248-9,022489 FORTE SECURITIZADORA S.A.,Termo de Securitização e Aditamentos de Direitos Creditórios,,"Termo de Securitização das 278ª e 279ª Séries da 1ª Emissão de Certificados de Recebíveis Imobiliários da Forte Securitizadora S.A., -",20190905 05/09/2019,20190919 19/09/2019 10:07,Ativo,1,AP,"OpenDownloadDocumentos('236918','1','711697','IPE')"
02269-1,022691 CIA LOCAÇÃO DAS AMÉRICAS,Reunião da Administração,Conselho de Administração,"Distribuição de Dividendos/Juros sobre Capital Próprio,Ata",20190919 19/09/2019 14:00,20190919 19/09/2019 19:20,Ativo,1,AP,"OpenDownloadDocumentos('237025','1','711809','IPE')"
02269-1,022691 CIA LOCAÇÃO DAS AMÉRICAS,Aviso aos Acionistas,Outros avisos,"Dividendos/Juros sobre Capital Próprio, -",20190919 19/09/2019,20190919 19/09/2019 19:38,Ativo,1,AP,"OpenDownloadDocumentos('237029','1','711813','IPE')"
02272-1,022721 CONC RODOVIAS DO TIETÊ S.A.,Assembleia,AGDEB,"Reestruturação das debêntures,Vencimento Antecipado de Debêntures,Proposta da Administração",20190920 20/09/2019 10:00,20190919 19/09/2019 18:22,Ativo,1,AP,"OpenDownloadDocumentos('237003','1','711784','IPE')"
02279-9,022799 SINQIA S.A.,Assembleia,AGDEB,"Segundo aditamento da escritura,Ata",20190919 19/09/2019 10:00,20190919 19/09/2019 17:51,Ativo,1,AP,"OpenDownloadDocumentos('236995','1','711774','IPE')"
02279-9,022799 SINQIA S.A.,Escrituras e aditamentos de debêntures,,"Alteração da definição de Dívida Líquida e Despesa Financeira, -",20190919 19/09/2019,20190919 19/09/2019 18:00,Ativo,1,AP,"OpenDownloadDocumentos('236997','1','711776','IPE')"
02280-2,022802 REIT SECURITIZADORA DE RECEBÍVEIS IMOBILIÁRIOS S/A,Informe Mensal de CRA,,"INFORME MENSAL DE CRA_PANTANAL 08/2019, -",20190831 08/2019,20190919 19/09/2019 18:28,Ativo,1,AP,"OpenDownloadDocumentos('237007','1','711788','IPE')"
02322-1,023221 SER EDUCACIONAL S/A,Formulário de Referência,,,20190101 2019,20190919 19/09/2019 15:09,Ativo,5,RE,"OpenDownloadDocumentos('88358','5','023221FRE201920190500088358-77','')"
02326-4,023264 AMBEV S.A.,Aviso aos Acionistas,Aumento de capital por subscrição privada deliberado em RCA,,20190822 22/08/2019 16:00,20190919 19/09/2019 18:26,Ativo,1,AP,"OpenDownloadDocumentos('237005','1','711786','IPE')"
02327-2,023272 LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES,Formulário de Referência,,,20190101 2019,20190919 19/09/2019 15:17,Inativo,4,RE,"OpenDownloadDocumentos('88359','4','023272FRE201920190400088359-76','')"
02358-2,023582 ECO101 CONCESSIONÁRIA DE RODOVIAS S.A.,Formulário de Referência,,,20190101 2019,20190919 19/09/2019 18:36,Inativo,7,RE,"OpenDownloadDocumentos('88371','7','023582FRE201920190700088371-73','')"
02379-5,023795 CAIXA SEGURIDADE PARTICIPAÇÕES S.A.,Fato Relevante,,"Assinatura de aditamento contratual de nova parceria, -",20190919 19/09/2019,20190919 19/09/2019 17:02,Ativo,1,AP,"OpenDownloadDocumentos('236960','1','711739','IPE')"
02379-5,023795 CAIXA SEGURIDADE PARTICIPAÇÕES S.A.,Assembleia,AGE,"Aprovação de termos de aditamento contratual,Ata",20190919 19/09/2019 08:30,20190919 19/09/2019 19:51,Ativo,1,AP,"OpenDownloadDocumentos('237033','1','711817','IPE')"
02388-4,023884 CONCESSIONÁRIA DE RODOVIAS MINAS GERAIS GOIÁS S.A.,Formulário de Referência,,,20190101 2019,20190919 19/09/2019 18:38,Inativo,8,RE,"OpenDownloadDocumentos('88372','8','023884FRE201920190800088372-76','')"
02413-9,024139 CONCESSIONÁRIA PONTE RIO-NITERÓI S.A. - ECOPONTE,Formulário de Referência,,,20190101 2019,20190919 19/09/2019 18:40,Inativo,6,RE,"OpenDownloadDocumentos('88373','6','024139FRE201920190600088373-77','')"
02418-0,024180 IRB - BRASIL RESSEGUROS S.A.,Assembleia,AGE,"Bonificação/Desdobramento,Eleição de Membros dos Conselhos de Administração e Fiscal,Reforma Estatutária,Ata",20190919 19/09/2019 15:00,20190919 19/09/2019 18:49,Ativo,1,AP,"OpenDownloadDocumentos('237013','1','711794','IPE')"
02418-0,024180 IRB - BRASIL RESSEGUROS S.A.,Estatuto Social,,,20190812 12/08/2019,20190919 19/09/2019 18:51,Ativo,3,RE,"OpenDownloadDocumentos('237015','3','711796','IPE')"
02418-0,024180 IRB - BRASIL RESSEGUROS S.A.,Fato Relevante,,"Desdobramento de ações, -",20190919 19/09/2019,20190919 19/09/2019 18:57,Ativo,1,AP,"OpenDownloadDocumentos('237021','1','711803','IPE')"
02418-0,024180 IRB - BRASIL RESSEGUROS S.A.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"Eleição de membro suplente do Conselho de Administração e de membro efetivo do Conselho Fiscal, -",20190919 19/09/2019,20190919 19/09/2019 19:12,Ativo,1,AP,"OpenDownloadDocumentos('237023','1','711805','IPE')"
02418-0,024180 IRB - BRASIL RESSEGUROS S.A.,Assembleia,AGE,"Mapa final de votação sintético,Mapa Final de Votação Sintético",20190919 19/09/2019 15:00,20190919 19/09/2019 19:20,Ativo,1,AP,"OpenDownloadDocumentos('237024','1','711808','IPE')"
02431-7,024317 BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES SA,Reunião da Administração,Conselho de Administração,"(i) Aprovação da proposta de incorporação da BGMAXX AL e BGMAXX BA, nos termos do Protocolo de Incorporação e Justificação das Incorporadas,(ii) Aprovação e recomendação à Assembleia Geral Extraordinária da Companhia da escolha da Vértice & Masc Auditoria Contábil, para elaboração dos laudos de avaliação das Incorporadas,(iii) Exame, a aprovação e a recomendação à Assembleia Geral Extraordinária da Companhia da aprovação do laudo de avaliação do patrimônio líquido da BGMAXX AL ,(iv) Exame, a aprovação e a recomendação à Assembleia Geral Extraordinária da Companhia da aprovação do laudo de avaliação do patrimônio líquido da BGMAXX BA,(v) Aprovação e a recomendação à Assembleia Geral Extraordinária da Companhia da aprovação da incorporação, das Incorporadas pela Companhia, nos termos do Protocolo de Incorporação ,(vi) Ratificação de todos os atos praticados até o momento pelos administradores da Companhia com o objetivo de implementar a incorporação das Incorporadas pela Companhia,(vii) Convocação de Assembleia Geral Extraordinária da Companhia para que os Acionistas deliberem sobre os itens (i) a (vi).,Ata",20190919 19/09/2019 11:00,20190919 19/09/2019 19:45,Ativo,1,AP,"OpenDownloadDocumentos('237030','1','711814','IPE')"
02431-7,024317 BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES SA,Assembleia,AGE,"(i) Discussão e aprovação dos termos e condições do Protocolo de Incorporação e Justificação celebrado entre os administradores da Companhia e os administradores da BGMAXX AL e da BGMAXX BA ,(ii) Discussão e aprovação da ratificação da nomeação e contratação da empresa especializada responsável pela avaliação do patrimônio líquido das Incorporadas,(iii) Discussão e aprovação do laudo de avaliação da BGMAXX AL,(iv) Discussão e aprovação do laudo de avaliação da BGMAXX BA,(v) Aprovação da incorporação, das Incorporadas pela Companhia, nos termos do Protocolo de Incorporação e do artigo 227 da Lei 6.404 de 15 de dezembro de 1976, conforme alterada,(vi) Autorização aos administradores da Companhia para que adotem todas as providências necessárias com o objetivo de implementar a incorporação das Incorporadas pela Companhia,Edital de Convocação",20191007 07/10/2019 10:30,20190919 19/09/2019 19:53,Ativo,1,AP,"OpenDownloadDocumentos('237034','1','711818','IPE')"
02431-7,024317 BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES SA,Assembleia,AGE,"Protocolo e Justificação de Incorporação, Fusão ou Cisão",20191007 07/10/2019 10:30,20190919 19/09/2019 20:01,Ativo,1,AP,"OpenDownloadDocumentos('237036','1','711820','IPE')"
02431-7,024317 BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES SA,Assembleia,AGE,"(i) Discussão e aprovação dos termos e condições do Protocolo de Incorporação e Justificação celebrado entre os administradores da Companhia e os administradores da BGMAXX AL e da BGMAXX BA,(ii) Discussão e aprovação da ratificação da nomeação e contratação da empresa especializada responsável pela avaliação do patrimônio líquido das Incorporadas,(iii) Discussão e aprovação do laudo de avaliação da BGMAXX AL,(iv) Discussão e aprovação do laudo de avaliação da BGMAXX BA,(v) Aprovação da incorporação, das Incorporadas pela Companhia, nos termos do Protocolo de Incorporação e do artigo 227 da Lei 6.404 de 15 de dezembro de 1976, conforme alterada,(vi) Autorização aos administradores da Companhia para que adotem todas as providências necessárias com o objetivo de implementar a incorporação das Incorporadas pela Companhia,Proposta da Administração",20191007 07/10/2019 10:30,20190919 19/09/2019 20:06,Ativo,1,AP,"OpenDownloadDocumentos('237038','1','711822','IPE')"
02431-7,024317 BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES SA,Assembleia,AGE,Manual para participação,20191007 07/10/2019 10:30,20190919 19/09/2019 20:08,Ativo,1,AP,"OpenDownloadDocumentos('237039','1','711823','IPE')"
02440-6,024406 BANCO INTER S.A.,Ato Homologatório emitido pelo Banco Central,,"Eleição de Diretor(es),Eleição do Diretor de Relações com Investidores, -",20190919 19/09/2019,20190919 19/09/2019 18:35,Ativo,1,AP,"OpenDownloadDocumentos('237009','1','711790','IPE')"
02445-7,024457 Equatorial Transmissora 7 SPE S.A.,Reunião da Administração,Conselho de Administração,"Alteração de Membros do Conselho de Administração,Ata",20190819 19/08/2019 11:00,20190919 19/09/2019 14:47,Ativo,1,AP,"OpenDownloadDocumentos('236950','1','711729','IPE')"
02445-7,024457 Equatorial Transmissora 7 SPE S.A.,Assembleia,AGE,"Eleição de Membros dos Conselhos de Administração e Fiscal,Ata",20190917 17/09/2019 10:00,20190919 19/09/2019 14:49,Ativo,1,AP,"OpenDownloadDocumentos('236951','1','711730','IPE')"
02448-1,024481 Equatorial Transmissora 8 SPE S.A.,Assembleia,AGE,"Eleição de Membros dos Conselhos de Administração e Fiscal,Ata",20190917 17/09/2019 10:00,20190919 19/09/2019 15:15,Ativo,1,AP,"OpenDownloadDocumentos('236956','1','711735','IPE')"
02470-8,024708 Nova Transportadora do Sudeste S.A. – NTS,Estatuto Social,,,20190829 29/08/2019,20190919 19/09/2019 09:28,Ativo,1,AP,"OpenDownloadDocumentos('236915','1','711694','IPE')"
02481-3,024813 Localiza Fleet S.A.,Assembleia,AGE,"Autorizar os Diretores da Companhia a discutir, negociar e definir os termos e condições da Oferta Restrita,Deliberar sobre a 7ª emissão de debêntures simples,Ata",20190716 16/07/2019 19:00,20190919 19/09/2019 14:30,Ativo,1,AP,"OpenDownloadDocumentos('240575','1','711725','IPE')"
02481-3,024813 Localiza Fleet S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Posição Consolidada,,20190831 08/2019,20190919 19/09/2019 14:32,Ativo,1,AP,"OpenDownloadDocumentos('240586','1','711726','IPE')"
02481-3,024813 Localiza Fleet S.A.,Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),"Posição Individual - Cia, Controladas e Coligadas",,20190831 08/2019,20190919 19/09/2019 14:34,Ativo,1,AP,"OpenDownloadDocumentos('240565','1','711728','IPE')"
02481-3,024813 Localiza Fleet S.A.,Assembleia,AGE,"Alteração e consolidação do Estatuto Social da Companhia,Ratificação a fixação da remuneração global anual dos membros do Conselho de Administração,Ata",20190912 12/09/2019 09:00,20190919 19/09/2019 14:59,Ativo,1,AP,"OpenDownloadDocumentos('240576','1','711732','IPE')"
02481-3,024813 Localiza Fleet S.A.,Estatuto Social,,,20190912 12/09/2019,20190919 19/09/2019 15:00,Ativo,1,AP,"OpenDownloadDocumentos('240587','1','711733','IPE')"
02481-3,024813 Localiza Fleet S.A.,DFP,,,20181231 31/12/2018,20190919 19/09/2019 15:31,Ativo,1,AP,"OpenDownloadDocumentos('86948','1','090379DFP311220180100086948-70','DFP')"
02481-3,024813 Localiza Fleet S.A.,Formulário Cadastral,,,20190101 2019,20190919 19/09/2019 14:41,Inativo,1,AP,"OpenDownloadDocumentos('86942','1','090379FCA000020190100086942-72','FCA')"
05005-9,050059 BANK OF AMERICA CORPORATION,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"FWP, -",20190919 19/09/2019,20190919 19/09/2019 11:09,Ativo,1,AP,"OpenDownloadDocumentos('236923','1','711702','IPE')"
05005-9,050059 BANK OF AMERICA CORPORATION,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"424B2, -",20190919 19/09/2019,20190919 19/09/2019 17:38,Ativo,1,AP,"OpenDownloadDocumentos('236978','1','711757','IPE')"
05005-9,050059 BANK OF AMERICA CORPORATION,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"FWP, -",20190919 19/09/2019,20190919 19/09/2019 17:38,Ativo,1,AP,"OpenDownloadDocumentos('236979','1','711758','IPE')"
05006-7,050067 WALMART INC.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"424B2, -",20190919 19/09/2019,20190919 19/09/2019 17:42,Ativo,1,AP,"OpenDownloadDocumentos('236984','1','711763','IPE')"
05009-1,050091 GOLDMAN SACHS GROUP INC.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"424B2, -",20190919 19/09/2019,20190919 19/09/2019 11:10,Ativo,1,AP,"OpenDownloadDocumentos('236926','1','711705','IPE')"
05009-1,050091 GOLDMAN SACHS GROUP INC.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"FWP, -",20190919 19/09/2019,20190919 19/09/2019 17:40,Ativo,1,AP,"OpenDownloadDocumentos('236981','1','711760','IPE')"
05009-1,050091 GOLDMAN SACHS GROUP INC.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"424B2, -",20190919 19/09/2019,20190919 19/09/2019 17:40,Ativo,1,AP,"OpenDownloadDocumentos('236982','1','711761','IPE')"
05010-5,050105 CITIGROUP INC.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"424B2, -",20190919 19/09/2019,20190919 19/09/2019 17:39,Ativo,1,AP,"OpenDownloadDocumentos('236980','1','711759','IPE')"
05021-0,050210 CATERPILLAR INC.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"(19/09/2019) CATERPILLAR INC (CAT:US) - Material à Disposição, -",20190919 19/09/2019,20190919 19/09/2019 17:48,Ativo,1,AP,"OpenDownloadDocumentos('236993','1','711772','IPE')"
05029-6,050296 SCHLUMBERGER LIMITED,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"(19/09/2019) SCHLUMBERGER (SLB:US) - Material à Disposição, -",20190919 19/09/2019,20190919 19/09/2019 10:13,Ativo,1,AP,"OpenDownloadDocumentos('236919','1','711698','IPE')"
05049-0,050490 COMCAST CORPORATION,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"4, -",20190919 19/09/2019,20190919 19/09/2019 17:43,Ativo,1,AP,"OpenDownloadDocumentos('236986','1','711765','IPE')"
05056-3,050563 THE HOME DEPOT,Aviso aos Acionistas,Outros avisos,"Pagamento de Dividendos - Aviso Final, -",20190919 19/09/2019,20190919 19/09/2019 14:16,Ativo,1,AP,"OpenDownloadDocumentos('236943','1','711722','IPE')"
05057-1,050571 JPMORGAN CHASE & CO.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"424B2, -",20190919 19/09/2019,20190919 19/09/2019 11:13,Ativo,1,AP,"OpenDownloadDocumentos('236927','1','711706','IPE')"
05057-1,050571 JPMORGAN CHASE & CO.,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"424B2, -",20190919 19/09/2019,20190919 19/09/2019 17:41,Ativo,1,AP,"OpenDownloadDocumentos('236983','1','711762','IPE')"
05073-3,"050733 FACEBOOK, INC.",Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"4, -",20190919 19/09/2019,20190919 19/09/2019 11:09,Ativo,1,AP,"OpenDownloadDocumentos('236921','1','711700','IPE')"
05075-0,050750 CELGENE CORPORATION,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"4, -",20190919 19/09/2019,20190919 19/09/2019 17:43,Ativo,1,AP,"OpenDownloadDocumentos('236987','1','711766','IPE')"
05087-3,050873 KIMBERLY-CLARK CORP,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"8K, -",20190919 19/09/2019,20190919 19/09/2019 12:17,Ativo,1,AP,"OpenDownloadDocumentos('236940','1','711719','IPE')"
05091-1,050911 THE MOSAIC COMPANY,Aviso aos Acionistas,Outros avisos,"Pagamento de Dividendos - Aviso Final, -",20190919 19/09/2019,20190919 19/09/2019 14:27,Ativo,1,AP,"OpenDownloadDocumentos('236945','1','711724','IPE')"
05106-3,051063 THE KRAFT HEINZ COMPANY,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"8K, -",20190919 19/09/2019,20190919 19/09/2019 12:19,Ativo,1,AP,"OpenDownloadDocumentos('236941','1','711720','IPE')"
05119-5,"051195 SALESFORCE.COM, INC.",Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"4, -",20190919 19/09/2019,20190919 19/09/2019 11:09,Ativo,1,AP,"OpenDownloadDocumentos('236922','1','711701','IPE')"
05134-9,051349 CHESAPEAKE ENERGY CORPORATION,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"8-K, -",20190919 19/09/2019,20190919 19/09/2019 17:44,Ativo,1,AP,"OpenDownloadDocumentos('236988','1','711767','IPE')"
05139-0,051390 SPRINT CORPORATION,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"425, -",20190919 19/09/2019,20190919 19/09/2019 11:33,Ativo,1,AP,"OpenDownloadDocumentos('236936','1','711715','IPE')"
05152-7,"051527 ALTRIA GROUP, INC.",Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"NOOF - MINI TENDER OFFER - ALTRIA GROUP INC - RECOMENDA REJEIÇÃO AO EVENTO, -",20190919 19/09/2019,20190919 19/09/2019 17:14,Ativo,1,AP,"OpenDownloadDocumentos('236965','1','711744','IPE')"
05158-6,051586 BROADCOM INC,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"4, -",20190919 19/09/2019,20190919 19/09/2019 11:10,Ativo,1,AP,"OpenDownloadDocumentos('236924','1','711703','IPE')"
05178-0,051780 DOLLAR TREE INC,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"4, -",20190919 19/09/2019,20190919 19/09/2019 17:45,Ativo,1,AP,"OpenDownloadDocumentos('236989','1','711768','IPE')"
05194-2,051942 LOWES COMPANIES INC,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"4, -",20190919 19/09/2019,20190919 19/09/2019 11:13,Ativo,1,AP,"OpenDownloadDocumentos('236928','1','711707','IPE')"
05195-0,051950 MARKEL CORP,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"4, -",20190919 19/09/2019,20190919 19/09/2019 11:13,Ativo,1,AP,"OpenDownloadDocumentos('236929','1','711708','IPE')"
05200-0,052000 NORTHROP GRUMMAN CORP,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"8K, -",20190919 19/09/2019,20190919 19/09/2019 11:13,Ativo,1,AP,"OpenDownloadDocumentos('236931','1','711710','IPE')"
05201-9,052019 NVIDIA CORP,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"4, -",20190919 19/09/2019,20190919 19/09/2019 11:13,Ativo,1,AP,"OpenDownloadDocumentos('236932','1','711711','IPE')"
05202-7,052027 OCCIDENTAL PETROLEUM CORP,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"8K, -",20190919 19/09/2019,20190919 19/09/2019 11:33,Ativo,1,AP,"OpenDownloadDocumentos('236934','1','711713','IPE')"
05204-3,052043 PAYPAL HOLDINGS INC,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"424B2, -",20190919 19/09/2019,20190919 19/09/2019 11:33,Ativo,1,AP,"OpenDownloadDocumentos('236935','1','711714','IPE')"
05228-0,052280 ALIBABA GROUP HOLDING LTD,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"SC 13D/A, -",20190919 19/09/2019,20190919 19/09/2019 17:36,Ativo,1,AP,"OpenDownloadDocumentos('236977','1','711756','IPE')"
05235-3,052353 DIAGEO PLC,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"6K, -",20190919 19/09/2019,20190919 19/09/2019 11:10,Ativo,1,AP,"OpenDownloadDocumentos('236925','1','711704','IPE')"
05240-0,052400 NOMURA HOLDINGS INC,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,"6K, -",20190919 19/09/2019,20190919 19/09/2019 11:13,Ativo,1,AP,"OpenDownloadDocumentos('236930','1','711709','IPE')"
90534-9,905349 MANAUS AMBIENTAL S.A.,Dados Econômico-Financeiros,Demonstrações Financeiras Anuais Completas,,20181231 31/12/2018,20190919 19/09/2019 14:52,Ativo,1,AP,"OpenDownloadDocumentos('236952','1','711731','IPE')"
90819-4,908194 SERTAO I SOLAR ENERGIA SPE S.A.,Dados Econômico-Financeiros,Demonstrações Financeiras Intermediárias,"Demonstrações Intermediárias Sertão I Solar Energia SPE S.A. 30 de junho de 2019,DFs Mercosul com reconciliação para IFRS",20190630 30/06/2019,20190919 19/09/2019 12:13,Ativo,1,AP,"OpenDownloadDocumentos('236939','1','711718','IPE')"
00090-6,000906 BCO BRADESCO S.A.,Ato Homologatório emitido pelo Banco Central,,"Eleição de membro suplente para o Conselho Fiscal, -",20190919 19/09/2019,20190920 20/09/2019 18:21,Ativo,1,AP,"OpenDownloadDocumentos('237179','1','711974','IPE')"
00152-0,001520 BARDELLA S.A. INDUSTRIAS MECANICAS,Comunicado ao Mercado,Aquisição/Alienação de Participação Acionária (art. 12 da Instr. CVM nº 358),"Declaração de Alienação de Participação Acionária Relevante - Art.12, §4º, da Instrução CVM nº358/02",20190913 13/09/2019,20190920 20/09/2019 09:22,Ativo,1,AP,"OpenDownloadDocumentos('237057','1','711843','IPE')"
